,ID,Title,Summary,Link,Published
40,51,Bolivia to renew Israel ties after rupture under Morales,"<p><a href=""https://news.yahoo.com/bolivia-renew-israel-ties-rupture-185651637.html""><img src=""http://l1.yimg.com/uu/api/res/1.2/sDmPiTVwQMF_bSoSST30lw--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en/ap.org/8e23f6fcbb9afc0fe6e6453f0403edd7"" width=""130"" height=""86"" alt=""Bolivia to renew Israel ties after rupture under Morales"" align=""left"" title=""Bolivia to renew Israel ties after rupture under Morales"" border=""0"" ></a>Bolivia said Thursday it will restore diplomatic ties with Israel, a decade after then-President Evo Morales severed relations because of an Israeli military offensive in Gaza.  The renewal of ties with Israel was announced by interim Foreign Minister Karen Longaric as part of an overhaul of Bolivia’s foreign policy following Morales’ resignation this month.  Many Israeli tourists visited Bolivia before Morales cut off relations with Israel, and the hope is that they will return, Longaric said.<p><br clear=""all"">",https://news.yahoo.com/bolivia-renew-israel-ties-rupture-185651637.html,28/11/2019
41,52,Saudi laws continue to hold women back from travel despite MBS reforms,"<p><a href=""https://news.yahoo.com/saudi-laws-continue-hold-women-175826668.html""><img src=""http://l2.yimg.com/uu/api/res/1.2/BvyJGtkUKD4msWiqhuD3jQ--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en-GB/the_telegraph_258/9771a5fc3e0f4786841d279689806c02"" width=""130"" height=""86"" alt=""Saudi laws continue to hold women back from travel despite MBS reforms"" align=""left"" title=""Saudi laws continue to hold women back from travel despite MBS reforms"" border=""0"" ></a>Scanning the departures board at Riyadh’s international airport, Eman tried to find her gate as she struggled with an oversized suitcase. She had travelled countless times before but always with her father, who had taken care of everything. It was the first time the 26-year-old had flown alone and she was finding it all a bit daunting. “My father didn’t like me going on trips without him or my brother, and I had always respected his wishes,” Eman, who asked that her surname not be published, told the Telegraph. “He was worried about what I would do if I had too much independence.” Under Saudi Arabia’s guardianship system, women had to rely on the permission of male relatives to leave the country and, in some cases, even to leave the home. But a royal decree issued in August ruled that women over the age of 21 could travel abroad and apply for a passport without a guardian&#39;s permission. Eman felt emboldened by the decree to tell her father that she would be travelling alone this time for a business meeting in Beirut, where she hoped to find new clients for her fledgling beauty company. A Saudi woman displays her new driving license, at the General Department of Traffic in the capital, Riyadh, after the kingdom lifts the ban on women driving in June last year Credit: AP “He wants my business to succeed, but he is still a bit old-fashioned,” she said. “The guardianship laws are partly about protecting women, but I think part of it is has always been about control.” Things have been changing quickly in the ultra-conservative kingdom as the young Crown Prince Mohammed bin Salman pushes to modernise the country.  In less than a year, MBS, as he has become known, has dropped Saudi’s draconian ban on women driving, done away with the “hai’a” which policed their dress and sanctioned mixed gender gatherings. But despite the reforms, women in Saudi told the Telegraph that the country’s laws continue to work against them to prevent them from travelling. Male guardians can still file cases of filial &quot;disobedience&quot;, a crime which can lead to forcible return to their guardian’s home or imprisonment in a women’s shelter. Rahaf Mohammed al-Qunun (C) accompanied by Canadian Minister of Foreign Affairs Chryistia Freeland (R), arrives at Toronto Pearson International Airport after escaping her &quot;abusive&quot; family   Credit: Reuters A legal provision known as &quot;taghayyub&quot; in Arabic, meaning “absent”, could also be invoked if a woman runs away from home without permission. Just this month it was reported that Princess Basmah Bint Saud Bin Abdul Aziz, the youngest daughter of deposed King Saud, was arrested trying to board a flight from the city of Jeddah to Geneva. The princess’ US lawyer said that following her detention the 55-year-old, who had campaigned for women&#39;s rights among other issues, “just fell off the radar” and has not been heard from since. “Even if they get to the airport with their documents and there is no physical restriction on their travel, women’s fathers or husbands could call up airport officials and tell them that they had been ‘disobedient’,” Rothna Begum, women&#39;s rights researcher for the Middle East and North Africa at Human Rights Watch (HRW) said. “There are still many parts of the law that continue to work against women.” Ms Begum said the decision marked a big step towards dismantling the guardianship system, but cautioned that women’s rights were yet to be fully enshrined. “The decree does not appear to positively affirm women’s right to travel abroad, as is their right under international law, and because it is not specific in its wording there are loopholes,” she said. Dua (L) and Dalal (R) al-Showaiki used Twitter to document their escape from their family from Turkey In another example, divorced mothers also spoke of how they feared they would not be able to travel with their children. More often than not in Saudi men win primary custody in a divorce, meaning mothers are required to get the permission of the father to fly with their children. One woman, who holds dual Saudi-Canadian citizenship, said she wanted to her two children to see her parents in Ottawa but her ex-husband had not given her permission for them to go. The royal court decision followed a series of high-profile cases of Saudi women attempting to flee the kingdom. Critics say they likely put pressure on a crown prince increasingly concerned about his image abroad, which has already been dented by the mass arrest of women’s rights activists and the brutal murder of dissident journalist Jamal Khashoggi last year. Eighteen-year-old Rahaf Mohammed al-Qunun barricaded herself in a hotel room in Bangkok in January claiming she had been imprisoned and abused by her father back in Saudi and wanted to claim asylum. A few months later, sisters Dua, 22, and Dalal al-Showaiki, 20, escaped during a family holiday in Turkey, claiming they too had suffered at the hands of their father and were being forced into arranged marriages. The rights of women have been held back not only by the country’s laws, but by its deep religious conservatism. In Saudi’s male-dominant culture, men largely have ultimate authority over women and many are resistant to the reforms. Jawhara, 30, a housewife from Riyadh told this paper during a recent visit that she was lucky to have a supportive husband, but said there were many more women that do not. Crown Prince Mohammed bin Salman has led the reforms to modernise Saudi but has also faced criticism for the mass arrest of women&#39;s rights activists Credit: AFP “I think modern families like mine will allow their daughters, sisters, mothers and wives to travel freely, but you must keep in mind the reserved parts of society which makes up a significant chunk of the country,” she said, not wishing to give her full name. “While change from the top matters there must also be change within the society itself. Women will continue to try to escape as long as they&#39;re treated like second-class citizens and I am glad they now have the means to.” The number of Saudis seeking asylum abroad has increased sevenfold in recent years. Saudis made at least 815 asylum claims worldwide in 2017, which includes both men and women, compared with 195 in 2012, according to the United Nations Refugee Agency&#39;s database. Rights group say this can be partly attributed to the opening up of social media in the kingdom, which has exposed women to freedoms experienced in the West. Toby Cadman, a British human rights lawyer who is helping Dua and Dalal’s claim for asylum, told the Telegraph that he has been contacted by more than 10 Saudi women asking for help, several of which since the August decree. “I had one recently who was the daughter of a Saudi diplomat in Africa. The woman was unmarried and in her 30s, so still considered to be under the protection of her father,” said Mr Cadman, co-founder of law firm Guernica 37. “She was effectively being kept under lock and key in the compound.” Mr Cadman gave her the advice to try to escape, but her father had her passport and she was too afraid of the punishment she would receive if she was caught. “For her, and many others like her, it made little difference that the laws had changed,” he said. In the case of Dua and Dalal, whose situation became public after they launched a Twitter campaign asking for help, the sisters’ parents have gone to some lengths to bring them home. The father, whom they describe as controlling and abusive, asked the Saudi embassy to help facilitate their return. Staff told the sisters to come to the consulate to collect new passports, which Mr Cadman believes was a rouse. Mr Cadman said there were common themes in all the cases: men fearing a loss of control over the women under their “guardianship” and familial honour. “The new decree makes almost no difference at all to the average woman in Saudi,” he said. “It cannot just be a change in the law, it needs to be a change in the mindset, a change in thinking. That will take some time.” Additional reporting by Nadia al-Faour<p><br clear=""all"">",https://news.yahoo.com/saudi-laws-continue-hold-women-175826668.html,28/11/2019
42,53,Emmanuel Macron left isolated as Nato allies dismiss his claim organisation is &#39;brain dead&#39;,"<p><a href=""https://news.yahoo.com/emmanuel-macron-defends-nato-brain-175036475.html""><img src=""http://l1.yimg.com/uu/api/res/1.2/RZwG0qjMPvj..DBHzOBo6A--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en-GB/the_telegraph_258/a37344ff797a96462aa7a63032285be1"" width=""130"" height=""86"" alt=""Emmanuel Macron left isolated as Nato allies dismiss his claim organisation is &#39;brain dead&#39;"" align=""left"" title=""Emmanuel Macron left isolated as Nato allies dismiss his claim organisation is &#39;brain dead&#39;"" border=""0"" ></a>Emmanuel Macron was left isolated by the leaders of other Nato countries on Thursday after he defended his claim that the organisation was “brain dead”. The French President’s stark appraisal of the transatlantic alliance was given short shrift by EU allies who want to bind Nato countries closer together in the face of threats from Russia and other aggressors. Ahead of a Nato meeting on the outskirts of London next week which will be attended by President Donald Trump and the leaders of the other 28 member countries, President Macron claimed his remarks served as a “wake-up call” to spur the alliance into redefining its strategic goals and asking “who’s the enemy?” But The Daily Telegraph understands that Mr Macron’s comments received no support in a Nato foreign ministers’ meeting in Brussels last week, with Germany his harshest critic. EU leaders believe Europe needs still to rely heavily on Nato for its defence. European countries are keen to present a united front in the face of criticism of Nato from Mr Trump, who announced yesterday that he will reduce America’s contribution to the Nato budget. Foreign Office sources suggested Mr Macron was trying to play to a domestic audience, as he is expected to urge allies to participate more in fighting the spread of Islamic fundamentalism in the Sahel region of West Africa following the deaths of 13 French soldiers in a helicopter collision. French President Emmanuel Macron said Nato must define its strategic priorities after meeting alliance Secretary General Jens Stoltenberg  Credit:  Chesnot/ Getty Images Europe &quot;The questions I have asked are open questions, that we haven&#39;t solved yet,” said the French president after a meeting in Paris with Nato&#39;s secretary-general, Jens Stoltenberg. &quot;Peace in Europe, the post-INF (Intermediate-range Nuclear Forces Treaty) situation, the relationship with Russia, the Turkey issue, who&#39;s the enemy?,” he asked. “As long as these questions are not resolved, let&#39;s not negotiate about cost-sharing and burden-sharing, or this that.&quot; &quot;So we maybe needed a wake-up call. I&#39;m glad it was delivered, and I&#39;m glad everyone now thinks we should rather think about our strategic goals,&quot; said Mr Macron. In this month’s the Economist, the French president warned that a lack of American willingness to defend its members had placed Europe &quot;on the edge of the precipice”. &quot;I’d argue that we should reassess the reality of what Nato is in the light of the commitment of the United States,&quot; he said, pointing to its unexpected troop withdrawal from north-eastern Syria last month, forsaking its Kurdish allies. The Telegraph understands that President Macron&#39;s comments were widely felt by members attending the Nato Foreign Minister&#39;s meeting in Brussels last week to be mainly for a domestic audience and would not undermine the residual strength of the alliance..  On Thursday, Nato&#39;s chief said that &quot;in uncertain times, we need strong multilateral institutions like Nato,&quot; and that he had &quot;good and open discussions&quot; with the French president. He praised France&#39;s role in Mali against an Islamist insurgency and where it suffered its worst military loss in almost 40 years this week when two helicopters collided. France is to undertake a review of its operation in the Sahel after 13 soldiers died in a helicopter crash in Mali this week Credit: DICOD/HANDOUT/EPA-EFE/REX Britain has provided helicopters and around 100 security personnel to help France&#39;s 4,500-member Barkhane force in West Africa, and the US provides intelligence support. But Paris, which is acting &quot;on behalf of everyone”, will launch an in-depth review of its involvement with &quot;all options on the table&quot;, said Mr Macron. &quot;A bigger engagement by its allies is obviously something that would be quite positive,&quot; he said. US president Donald Trump has repeatedly accused European Nato members of failing to meet commitments to spend at least two percent of GDP on defence. By way of response, Mr Macron said that &quot;our common enemy is the terrorism that has struck us all”. &quot;If some people want to see an example of what they term &#39;cost-sharing&#39;, they can come Monday to the ceremony France is organising&quot; for the 13 soldiers killed in the Mali accident. &quot;There they will see the cost.” US President Donald Trump has berated Nato members for failing to meet their defence spending commitments Credit:  UPI / Barcroft Media The US on Thursday announced it is to cut its contribution to Nato’s operating budget with Germany meeting the shortfall. Washington was previously the biggest contributor, paying about 22 per cent. Now the US and Germany will both pay roughly 16 per cent. Mr Macron also defended French attempts to renew ties with Russian President Vladimir Putin, which has riled EU leaders, calling for a &quot;lucid, robust and demanding dialogue&quot;. Russia has called on the US and other countries to declare a moratorium on the deployment of short and mid-range nuclear missiles in Europe after a treaty banning such a move formally ended in August. Mr Macron said that while France had &quot;absolutely not accepted&quot; the proposal, “we shouldn&#39;t just brush it off&quot;. &quot;Let&#39;s be serious, this is the security of Europe we&#39;re talking about,&quot; he said, adding that Europe must be involved in talks on any new pact.<p><br clear=""all"">",https://news.yahoo.com/emmanuel-macron-defends-nato-brain-175036475.html,28/11/2019
43,54,Brexit Bulletin: Brutal Verdict,"<p><a href=""https://news.yahoo.com/brexit-bulletin-brutal-verdict-161102258.html""><img src=""http://l2.yimg.com/uu/api/res/1.2/Rvpcp8gXtsCnsmt98FYqmQ--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en/bloomberg_politics_602/027c0e30910f9655f7ba5788958dd3a7"" width=""130"" height=""86"" alt=""Brexit Bulletin: Brutal Verdict"" align=""left"" title=""Brexit Bulletin: Brutal Verdict"" border=""0"" ></a>Days to General Election: 14(Bloomberg) -- Sign up here to get the Brexit Bulletin in your inbox every weekday.What’s Happening? Boris Johnson’s resounding poll lead piles on the misery for Labour leader Jeremy Corbyn.Voters, be warned: A leading U.K. think tank offered a damning analysis of both the Conservative and Labour election pledges, cautioning that Britons should expect higher taxes post-election than either party has outlined.In a brutal assessment of both manifestos for the Dec. 12 vote, the Institute for Fiscal Studies said that “neither is a properly credible prospectus.” The two parties offer vastly different options for voters — you can explore the competing plans right here.Corbyn is promising a generational shift in public spending along with sweeping nationalization plans, while Prime Minister Boris Johnson’s Conservatives are presenting a more prudent approach, offering themselves up as the responsible alternative to Labour’s radical ideas.All this came the morning after a much-anticipated poll put the Conservatives on track to win their biggest majority in more than three decades. The YouGov survey, which used a technique that stood up well in 2017, suggested the Tories would win 359 of the 650 seats in Parliament. That would be a gain of 42 on the last election, and a majority of 68. Labour would drop more than 50 seats to 211, the survey showed. There were caveats in the gloom for Labour: YouGov pointed to 30 seats it sees swinging to the Tories where the current margin is still less than 5%. Corbyn has two weeks to shift the momentum in those areas, which voted to leave the European Union and where he’s losing votes to Johnson’s pro-Brexit message.Today’s Must-ReadsParty leaders (minus Johnson) will debate climate change on Channel 4 this evening. Slow news outlet Tortoise looks at what the manifestos say about the path to net-zero emissions. Is Jeremy Corbyn an antisemite? It no longer matters, Therese Raphael argues for Bloomberg Opinion. Labour’s Brexit plan is far more attractive than Boris Johnson’s, Martin Wolf writes in the Financial Times. “But do I trust Mr Corbyn’s Labour with my country? No.”Brexit in BriefChanging Tack | Labour will change its approach in Leave-voting areas in a bid to win over people who are skeptical about its Brexit policy, the BBC reports. The strategy will focus on trying to convince voters that Labour support for a new referendum is not a bid to remain in the EU “by the back door,” the BBC said.Ghost of Columns Past | The prime minister came under fire for remarks made in columns published earlier in his career. Writing in the Spectator in 1995 he called single mothers “uppity and irresponsible” and working class men “feckless and hopeless.” The Guardian reported that in 1999 he wrote a diary piece in the Independent describing young people’s interest in money as “almost Nigerian.”Sixteen-Year Low | Net migration to the U.K. from the EU fell to its lowest level since 2003 in the year through June, preliminary Office for National Statistics estimates published on Thursday show.Bouncing Back? | U.K. house prices increased at their fastest pace in more than a year this month, according to Nationwide Building Society. Values rose 0.5% in November from October, the biggest advance since July 2018. U.K. housing activity has been undermined by the ongoing Brexit process since the 2016 referendum.Cash Boost | Labour brought in £3.49 million ($4.5 million) in donations of more than £7,500 from Nov. 13-19, the Electoral Commission said. That compared to £2.97 million for the Conservatives, £2.25 million for the Brexit Party and £251,000 for the Liberal Democrats.Winning Streak | The pound headed for a fourth month of gains against the euro, reflecting growing confidence in the market that the Conservative Party will be able to secure a majority. Sterling traded at €1.1735 on Thursday afternoon, meaning one euro costs about 85 pence.Want to keep up with Brexit?You can follow us @Brexit on Twitter, and listen to Bloomberg Westminster every weekday. It’s live at midday on Bloomberg Radio and is available as a podcast too. Share the Brexit Bulletin: Colleagues, friends and family can sign up here. For full EU coverage, try the Brussels Edition.For even more: Subscribe to Bloomberg All Access for our unmatched global news coverage and two in-depth daily newsletters, The Bloomberg Open and The Bloomberg Close.To contact the authors of this story: Fergal O&#39;Brien in Zurich at fobrien@bloomberg.netAndrew Atkinson in London at a.atkinson@bloomberg.netTo contact the editor responsible for this story: Adam Blenford at ablenford@bloomberg.net, Chris KayFor more articles like this, please visit us at bloomberg.com©2019 Bloomberg L.P.<p><br clear=""all"">",https://news.yahoo.com/brexit-bulletin-brutal-verdict-161102258.html,28/11/2019
44,55,Seoul says North Korea has fired 2 short-range projectiles,"<p><a href=""https://news.yahoo.com/seoul-says-north-korea-fired-154022369.html""><img src=""http://l2.yimg.com/uu/api/res/1.2/wn9dDBwKbD8aCmKSxV1FHA--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en/politico_453/6bdfaecdbee64c78f749400529ef2488"" width=""130"" height=""86"" alt=""Seoul says North Korea has fired 2 short-range projectiles"" align=""left"" title=""Seoul says North Korea has fired 2 short-range projectiles"" border=""0"" ></a>The recent North Korea activities could indicate it wants to show what would happen if Washington fails to meet a year-end deadline.<p><br clear=""all"">",https://news.yahoo.com/seoul-says-north-korea-fired-154022369.html,28/11/2019
45,56,&#39;Brexit election&#39; feeds Northern Ireland&#39;s bitter divide,"<p><a href=""https://news.yahoo.com/brexit-election-feeds-northern-irelands-bitter-divide-152529285.html""><img src=""http://l1.yimg.com/uu/api/res/1.2/G31B5pwyh6WJal0jFufh5A--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/http://media.zenfs.com/en_us/News/afp.com/7beb146407a06aafe3b5266ed96fb7d7fd9a0e88.jpg"" width=""130"" height=""86"" alt=""&#39;Brexit election&#39; feeds Northern Ireland&#39;s bitter divide"" align=""left"" title=""&#39;Brexit election&#39; feeds Northern Ireland&#39;s bitter divide"" border=""0"" ></a>Britain's ""Brexit election"" may be hardening opinion about Northern Ireland's status, widening a gulf that characterised the province's bloody and still unsettled sectarian past.  Political parties across the country are campaigning before polling on December 12, with Prime Minister Boris Johnson hoping to secure a majority to get his divorce deal approved.  Historically, Protestant unionists have favoured remaining with Britain, while Catholic republicans have preferred unity with Ireland.<p><br clear=""all"">",https://news.yahoo.com/brexit-election-feeds-northern-irelands-bitter-divide-152529285.html,28/11/2019
46,57,Republican running against Ilhan Omar banned from Twitter after calling for rival to be hanged,"<p><a href=""https://news.yahoo.com/republican-running-against-ilhan-omar-152454656.html""><img src=""http://l2.yimg.com/uu/api/res/1.2/vANvfnG3rDrWNyPRRLF2WQ--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/https://media.zenfs.com/en/the_independent_635/8adb6f7c02cb0e0e3aeac5b1b10b444d"" width=""130"" height=""86"" alt=""Republican running against Ilhan Omar banned from Twitter after calling for rival to be hanged"" align=""left"" title=""Republican running against Ilhan Omar banned from Twitter after calling for rival to be hanged"" border=""0"" ></a>The Republican hoping to unseat Ilhan Omar has had her official Twitter account closed after she called for the high-profile Democrat to be hanged.Danielle Stella&#39;s campaign account tweeted: &quot;If it is proved @ilhanMN passed sensitive info to Iran, she should be tried for treason and hanged&quot;, according to The Washington Times.<p><br clear=""all"">",https://news.yahoo.com/republican-running-against-ilhan-omar-152454656.html,28/11/2019
47,58,"Europeans fear climate change more than terrorism, unemployment or migration","<p><a href=""https://news.yahoo.com/europeans-fear-climate-change-more-143018467.html""><img src="""" width=""130"" height=""86"" alt=""Europeans fear climate change more than terrorism, unemployment or migration"" align=""left"" title=""Europeans fear climate change more than terrorism, unemployment or migration"" border=""0"" ></a>Almost half of all Europeans fear climate change more than losing a job or of a terrorist attack, a study by the European Investment Bank (EIB) showed on Thursday as EU lawmakers declared a ""climate emergency"".  The symbolic vote by lawmakers was designed to pressure for action against global warming at an upcoming United Nations summit..  The EIB survey of 30,000 respondents from 30 countries, including China and the United States, showed 47% of Europeans saw climate change as the number one threat in their lives, above unemployment, large scale migration and concerns about terrorism.<p><br clear=""all"">",https://news.yahoo.com/europeans-fear-climate-change-more-143018467.html,28/11/2019
48,59,Iran: Europeans cannot invoke nuclear deal dispute mechanism,"<p><a href=""https://news.yahoo.com/iran-europeans-cannot-invoke-nuclear-deal-dispute-mechanism-142633242.html""><img src=""http://l2.yimg.com/uu/api/res/1.2/Ufrm.igs84HE2UaU_XvzHg--/YXBwaWQ9eXRhY2h5b247aD04Njt3PTEzMDs-/http://media.zenfs.com/en_us/News/afp.com/55396e1b3fbab9cdb1a7000e78520de9f6a63950.jpg"" width=""130"" height=""86"" alt=""Iran: Europeans cannot invoke nuclear deal dispute mechanism"" align=""left"" title=""Iran: Europeans cannot invoke nuclear deal dispute mechanism"" border=""0"" ></a>Iran said Thursday European parties to the 2015 nuclear deal such as France could not trigger a dispute mechanism in the agreement that could lead to UN sanctions being reimposed.  French Foreign Minister Jean-Yves Le Drian raised the possibility Wednesday of invoking the mechanism, but Iran's foreign ministry said this would not be permissible.  The deal ""does not allow the European parties to invoke the mechanism as Iran is exercising its legal right in response to the United States' illegal and unilateral actions"", ministry spokesman Abbas Mousavi said, quoted by semi-official news agency ISNA.<p><br clear=""all"">",https://news.yahoo.com/iran-europeans-cannot-invoke-nuclear-deal-dispute-mechanism-142633242.html,28/11/2019
49,60,"Burundi Accuses Rwanda of Armed Attack, Threatens Retaliation","<p><a href=""https://news.yahoo.com/burundi-accuses-rwanda-armed-attack-140539215.html""><img src="""" width=""130"" height=""86"" alt=""Burundi Accuses Rwanda of Armed Attack, Threatens Retaliation"" align=""left"" title=""Burundi Accuses Rwanda of Armed Attack, Threatens Retaliation"" border=""0"" ></a>(Bloomberg) -- Sign up to our Next Africa newsletter and follow Bloomberg Africa on TwitterBurundi accused Rwanda of sending troops earlier this month to attack one of its military positions and pledged to “use legitimate defense” if its northern neighbor continues the hostility.Eight Burundian soldiers were killed when gunmen attacked their camp close to the Rwandan border on Nov. 16. The invaders retreated back into Rwanda after the attack, Burundi said. “Burundi avails itself of this opportunity to warn Rwanda against these repetitive and multifaceted attacks against Burundi and wants the international community to take note,” the government’s spokesman, Prosper Ntahorwamiye, told reporters on Thursday in Bujumbura. “In case of recidivism, the government of the Republic of Burundi reserves the right of legitimate defense.”The Rwandan army’s spokesman, Innocent Munyengango, dismissed the allegation and asked Burundi for evidence. “If we were to do it, it would be in broad daylight,” he said by phone from the capital, Kigali.Burundi reported past incidents of aggression to the United Nations, the African Union and the East African Community but none of the international organizations responded or censured Rwanda for the alleged actions.“If nothing is done, such acts by Rwanda against Burundi constitute a threat to the peace and security of the entire African Great Lakes region,” Ntahorwamiye said.&#92;--With assistance from Saul Butera.To contact Bloomberg News staff for this story: Desire Nimubona in Bujumbura at dnimubona@bloomberg.netTo contact the editors responsible for this story: David Malingha at dmalingha@bloomberg.net, Helen NyamburaFor more articles like this, please visit us at bloomberg.com©2019 Bloomberg L.P.<p><br clear=""all"">",https://news.yahoo.com/burundi-accuses-rwanda-armed-attack-140539215.html,28/11/2019
0,61,Man shot by police after several people stabbed near London Bridge - NBC News,"<ol><li><a href=""https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3Mvd29ybGQvcG9saWNlLXJlc3BvbmQtaW5jaWRlbnQtbG9uZG9uLWJyaWRnZS1uMTA5MzI1MdIBLGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL25jbmExMDkzMjUx?oc=5"" target=""_blank"">Man shot by police after several people stabbed near London Bridge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font></li><li><a href=""https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9enZsSTdjaFRjRWPSAQA?oc=5"" target=""_blank"">London Terror: Attack at London Bridge LIVE</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sun</font></li><li><a href=""https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9Mnd6dUpDTk9abzjSAQA?oc=5"" target=""_blank"">London Bridge locked down after man shot and killed: British police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fox News</font></li><li><a href=""https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3LmNhbWJyaWRnZS1uZXdzLmNvLnVrL25ld3MvdWstd29ybGQtbmV3cy9saXZlLXVwZGF0ZXMtbG9uZG9uLWJyaWRnZS1zdGFiYmluZy0xNzMzODc2NNIBZGh0dHBzOi8vd3d3LmNhbWJyaWRnZS1uZXdzLmNvLnVrL25ld3MvdWstd29ybGQtbmV3cy9saXZlLXVwZGF0ZXMtbG9uZG9uLWJyaWRnZS1zdGFiYmluZy0xNzMzODc2NC5hbXA?oc=5"" target=""_blank"">Live: London Bridge in lockdown after multiple people injured in attack</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cambridgeshire Live</font></li><li><a href=""https://news.google.com/__i/rss/rd/articles/CBMiS2h0dHBzOi8vd3d3Lm5ld3NkYXkuY29tL25ld3Mvd29ybGQvbG9uZG9uLWJyaWRnZS1ndW5zaG90cy1yZXBvcnQtMS4zOTAwOTE5MdIBT2h0dHBzOi8vd3d3Lm5ld3NkYXkuY29tL2FtcC9uZXdzL3dvcmxkL2xvbmRvbi1icmlkZ2UtZ3Vuc2hvdHMtcmVwb3J0LTEuMzkwMDkxOTE?oc=5"" target=""_blank"">British police: Several people stabbed in London Bridge incident</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsday</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlHbFBMQWpvQU1FUzA4R2ZjaHJlTHRLQUFQAQ?oc=5"" target=""_blank"">View full coverage on Google News</a></strong></li></ol>",https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3Mvd29ybGQvcG9saWNlLXJlc3BvbmQtaW5jaWRlbnQtbG9uZG9uLWJyaWRnZS1uMTA5MzI1MdIBLGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL25jbmExMDkzMjUx?oc=5,29/11/2019
